,Unnamed: 0,project,website,project_twitter,created_at,amount,center_x,center_y,color
832,911.0,Impactzone ,https://impactopia.earth,_impactzone,1691709797623.0,164.0,-1.5,11.691342951089919,0.2880036321103949
833,910.0,Empowering women and girls through education and digital skills access,https://hostlinker.com/,Okekechidic,1691709225588.0,298.0,-1.5,12.55736835487436,0.34949317910486594
834,909.0,Fridays For Future Lebanon: Pan-Arab DeFi Solidarity,https://fridaysforfuture.org/september15,fridays4leb,1691708261036.0,59.0,-1.5,13.423393758658797,0.18274626778521197
835,908.0,Public Ads - Quadratic Attention Payments Mechanism,https://savory-tile-1df.notion.site/Public-Ads-Quadratic-Attention-Payments-Mechanism-97e1f14426b541f58b7c85ba0ef5240e?pvs=4,bvicentes,1691706820713.0,415.0,-1.5,14.289419162443238,0.38359146282979545
836,907.0,EIP Fun,https://eip.fun,EIPFun,1691703556095.0,834.0,-1.5,15.155444566227672,0.45545178613698467
837,906.0,Solhint,https://protofire.github.io/solhint/,protofire,1691702881556.0,138.0,-1.5,16.021469970012113,0.27023169897745186
838,905.0,OLD PROJECT - do not fund,https://duplicate.com,pblcasmbly,1691700609631.0,154.0,-1.5,16.887495373796554,0.28152612482409134
839,904.0,Digital Commons For Emerging Economies,https://www.blockchainedindia.com/,blockchainedind	,1691696864106.0,49.0,-1.5,17.753520777580988,0.1636251261724002
840,903.0,A Free Youtube content library for developers looking to create web3 games,https://morganpage.tech,platoevolved,1691696824495.0,37.0,-0.75,-18.186533479473212,0.13470386384691793
841,902.0,NFP (Non-Fungible Plants),https://nfp.garden,nfpgarden,1691695555305.0,430.0,-0.75,-17.320508075688775,0.38724717493585836
842,901.0,Afrocarb,https://afrocarb.com,afrocarbon,1691692466246.0,107.0,-0.75,-16.454482671904334,0.2440365214717041
843,900.0,BanklessUA,https://linktr.ee/banklessua,banklessUA,1691692090592.0,297.0,-0.75,-15.588457268119896,0.34914710009768457
844,899.0,Bankless Turkish,https://banklesstr.substack.com/,BanklessTr,1691691301403.0,323.0,-0.75,-14.722431864335459,0.3577873886590742
845,898.0,MUTUAL,https://www.mutual.supply/,mutualdesign,1691690030050.0,74.0,-0.75,-13.85640646055102,0.20606919385598016
846,897.0,The Kawagumba village community farm project,https://twitter.com/Kawagumba,Kawagumba,1691684769750.0,457.0,-0.75,-12.99038105676658,0.3935171548073987
847,896.0,Revolte.,https://revolte.app/en,IrruptionLab,1691684417518.0,885.0,-0.75,-12.124355652982143,0.4615628044501156
848,895.0,AyaVersity,https://ayaversity.com/,ayahq_,1691678194875.0,91.0,-0.75,-11.258330249197703,0.22736041737097437
849,894.0,La Dream Machine's GR18,https://ladreammachine.substack.com,Dmlab_,1691677536233.0,127.0,-0.75,-10.392304845413264,0.2616792942427633
850,893.0,SafeTransfer,https://safetransfer.cash,stableunitdao,1691673438918.0,796.0,-0.75,-9.526279441628827,0.45065040146053953
851,892.0,Web3Matters Weekly（馬特週報）,https://web3matters.substack.com/,web3matters_zh,1691671694817.0,355.0,-0.75,-8.660254037844387,0.3675134026466693
852,891.0,Token Engineering Commons,https://tecommons.org,tecmns,1691670891413.0,659.0,-0.75,-7.794228634059948,0.4312040651459337
853,890.0,BanklessMagyar,https://linktr.ee/banklessmagyar,BanklessMagyar,1691667733646.0,94.0,-0.75,-6.9282032302755105,0.2306999017156828
854,889.0,Epoch Protocol,https://www.epochprotocol.xyz/,0xEpochProtocol,1691667591705.0,1556.0,-0.75,-6.062177826491071,0.5196607986447139
855,888.0,Scry,https://docs.scry.finance/docs/morpheus/morpheus,scryprotocol,1691656431732.0,111.0,-0.75,-5.196152422706634,0.24781523576287182
856,887.0,Decentraclasses,https://decentraclasses.com,decentraclasses,1691654614298.0,1269.0,-0.75,-4.3301270189221945,0.4986686874544822
857,886.0,Soulcial,https://soulcial.discoverse.club/,SoulcialGlobal,1691654556639.0,271.0,-0.75,-3.4641016151377553,0.339714738760633
858,885.0,Arkiver SDK,https://www.arkiver.net,robolabs_biz,1691653832013.0,416.0,-0.75,-2.598076211353318,0.3838392569510794
859,884.0,jujuverse,https://juliedao.myshopify.com/,jujuverse_ai,1691646788371.0,257.0,-0.75,-1.7320508075688785,0.3342535431238592
860,883.0,FABDAO,https://project.fab.tw,FAB_DAO,1691641895746.0,510.0,-0.75,-0.866025403784441,0.4048145064815634
861,882.0,Wasset,https://wasset.io,wassetltd,1691641384088.0,108.0,-0.75,0.0,0.24499428100797402
862,881.0,ReFi Denver,https://twitter.com/ReFiDenver,ReFiDenver,1691623120737.0,259.0,-0.75,0.8660254037844375,0.335051674312124
863,880.0,The Gaia Consortium: An Open Source Ecosystem to Defeat Moloch and Regenerate the Planet,https://gaiaconsortium.org,_Digitalgaia,1691622757506.0,81.0,-0.75,1.732050807568875,0.21537499290580336
864,879.0,CryptoConexión: A Community of Communities Fostering Connection and Growth in Latin American Web3 Education,https://www.cryptoconexion.com,cryptoconexion,1691619769135.0,178.0,-0.75,2.598076211353316,0.29643768860268405
865,878.0,ELI5 💡 DAO,https://www.eli5dao.com/,ELI5DAO,1691615772736.0,565.0,-0.75,3.4641016151377535,0.4153589923645613
866,877.0,Afroblocks,https://afroblocks.cc,afroblocks,1691614581372.0,160.0,-0.75,4.330127018922191,0.28546132003624886
867,876.0,Proof of Vibes ,https://proofofvibes.com,Vibesproof,1691614245343.0,61.0,-0.75,5.1961524227066285,0.1861785325342305
868,875.0,Andino - Talent in technology,https://andino.gitbook.io/andino/,andinodao,1691612962679.0,41.0,-0.75,6.0621778264910695,0.1452729720922704
869,874.0,DAOstewards,https://bankless.community,DaoStewards,1691612761398.0,148.0,-0.75,6.928203230275507,0.2774345238650424
870,873.0,Data2.cash,https://data2.cash,data2_cash,1691612061290.0,557.0,-0.75,7.7942286340599445,0.4138907548956815
871,872.0,The Solidity Guild,https://solidityguild.com/,solidityguild,1691611089710.0,77.0,-0.75,8.660254037844386,0.2101607948150291
872,871.0,PEERUP,https://PEERUP.one,PEERUPDAO,1691610313302.0,197.0,-0.75,9.526279441628823,0.3068797486836655
873,870.0,Nación Bankless,https://nacionbankless.substack.com/,NacionBankless,1691609297422.0,375.0,-0.75,10.39230484541326,0.3731563714047912
874,869.0,Ether Alpha,https://etheralpha.org,hanni_abu,1691603586282.0,920.0,-0.75,11.258330249197702,0.46555615182857224
875,868.0,Zon,https://docs.zoncircle.com,ZonDirectory,1691601965298.0,302.0,-0.75,12.124355652982139,0.35086597821214455
